vect_label,vect_offs,comment
INT_SCI1_ERI1,0x00000270,SCI1_ERI1 interrupt
INT_SCI1_RXI1,0x00000274,SCI1_RXI1 interrupt
INT_SCI1_TXI1,0x00000278,SCI1_TXI1 interrupt
INT_SCI1_TEI1,0x0000027C,SCI1_TEI1 interrupt
INT_SCI2_ERI2,0x00000280,SCI2_ERI2 interrupt
INT_SCI2_RXI2,0x00000284,SCI2_RXI2 interrupt
INT_SCI2_TXI2,0x00000288,SCI2_TXI2 interrupt
INT_SCI2_TEI2,0x0000028C,SCI2_TEI2 interrupt
INT_WDT_ITI,0x00000290,WDT_ITI interrupt
Poweron_Reset,0x00000000,RESET
