reg_name,reg_addr
HCAN0_MCR_W,0xFFFFD000
HCAN0_GSR_W,0xFFFFD002
HCAN0_BCR1_W,0xFFFFD004
HCAN0_BCR0_W,0xFFFFD006
HCAN0_IRR_W,0xFFFFD008
HCAN0_IMR_W,0xFFFFD00A
HCAN0_TEC_B,0xFFFFD00C
HCAN0_REC_B,0xFFFFD00D
HCAN0_TXPR1_W,0xFFFFD020
HCAN0_TXPR0_W,0xFFFFD022
HCAN0_TXCR1_W,0xFFFFD028
HCAN0_TXCR0_W,0xFFFFD02A
HCAN0_TXACK1_W,0xFFFFD030
HCAN0_TXACK0_W,0xFFFFD032
HCAN0_ABACK1_W,0xFFFFD038
HCAN0_ABACK0_W,0xFFFFD03A
HCAN0_RXPR1_W,0xFFFFD040
HCAN0_RXPR0_W,0xFFFFD042
HCAN0_RFPR1_W,0xFFFFD048
HCAN0_RFPR0_W,0xFFFFD04A
HCAN0_MBIMR1_W,0xFFFFD050
HCAN0_MBIMR0_W,0xFFFFD052
HCAN0_UMSR1_W,0xFFFFD058
HCAN0_UMSR0_W,0xFFFFD05A
HCAN0_TCNTR_W,0xFFFFD080
HCAN0_TCR_W,0xFFFFD082
HCAN0_TSR_W,0xFFFFD084
HCAN0_TDCR_W,0xFFFFD086
HCAN0_LOSR_W,0xFFFFD088
HCAN0_ICR0_cc_W,0xFFFFD08A
HCAN0_ICR0_tm_W,0xFFFFD08C
HCAN0_ICR1_W,0xFFFFD08E
HCAN0_TCMR0_W,0xFFFFD090
HCAN0_TCMR1_W,0xFFFFD092
HCAN0_TCMR2_W,0xFFFFD094
HCAN0_CCR_W,0xFFFFD096
HCAN0_CMAX_W,0xFFFFD098
HCAN0_TMR_W,0xFFFFD09A
HCAN0_CCRbuf_W,0xFFFFD09C
HCAN0_ICR0buf_W,0xFFFFD09E
HCAN0_MB0[0][1]_W,0xFFFFD100
HCAN0_MB0[2][3]_W,0xFFFFD102
HCAN0_MB0[4][5]_W,0xFFFFD104
HCAN0_MB0[6]_W,0xFFFFD106
HCAN0_MB0[7][8]_W,0xFFFFD108
HCAN0_MB0[9][10]_W,0xFFFFD10A
HCAN0_MB0[11][12]_W,0xFFFFD10C
HCAN0_MB0[13][14]_W,0xFFFFD10E
HCAN0_MB0[15][16]_W,0xFFFFD110
HCAN0_MB0[17][18]_W,0xFFFFD112
HCAN0_MB1[0][1]_W,0xFFFFD120
HCAN0_MB1[2][3]_W,0xFFFFD122
HCAN0_MB1[4][5]_W,0xFFFFD124
HCAN0_MB1[6]_W,0xFFFFD126
HCAN0_MB1[7][8]_W,0xFFFFD128
HCAN0_MB1[9][10]_W,0xFFFFD12A
HCAN0_MB1[11][12]_W,0xFFFFD12C
HCAN0_MB1[13][14]_W,0xFFFFD12E
